dataset,status,modality,license_or_rights,local_path,file_count,size_bytes,size_mb,notes
GMDCSA-24,authorized_train_after_QA,RGB video + CSV,CC BY 4.0 / source metadata recorded,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\gmdcsa24,333,2217449824,2114.72,"160 videos: 79 fall, 81 ADL; living-room/far-view fall/ADL"
GMDCSA-24 YOLO autolabel,candidate_train_after_QA,images + YOLO labels,derived from GMDCSA-24,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\fall_detect_v3_gmdcsa24_autolabel,2494,226060299,215.59,1246 auto-labeled images for detector training
FallVision keypoints,authorized_pose_temporal_after_extract,RAR keypoint CSV archives,CC0/source metadata recorded,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\fallvision_keypoints,32,284355733,271.18,16 keypoint archives; pose/temporal branch
Simuletic CCTV Fall/Lying,authorized_pose_detector_candidate,synthetic CCTV images + YOLO pose labels,CC BY 4.0,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\simuletic_cctv_fall_pose,454,171795592,163.84,overhead CCTV fall/lying/standing posture hard cases
DeZan fall-detection images,authorized_detector_candidate_after_QA,images + YOLO labels,MIT/source metadata recorded,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\dezan_fall_detection_images,808,67490866,64.36,small fall image detector augmentation set
URFD subset,research_only,RGB frame zip + CSV,CC BY-NC-SA 4.0,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_research_only\urfd,40,663958649,633.2,fall/ADL RGB sequences; do not mix into production until rights cleared
Le2i sentinel frames,research_only,RGB frames,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_research_only\le2i_sentinel_frames,788,9015189,8.6,classic fall/ADL frames for validation
OmniFall sensor aggregate,research_temporal_only,parquet + split tables,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_research_only\omnifall_sensor,588,9762590472,9310.33,large tabular aggregate including fall datasets/splits; useful temporal reference
WANFall sensor/video,research_temporal_only,videos + labels + sensor tables,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_research_only\wanfall_sensor,227,9096071333,8674.69,fall/ADL videos and labels; review license before final training
mmWave fall sensor,research_sensor_only,parquet,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_research_only\mmwave_fall_sensor,8,4596,0.0,mmWave fall table; not detector bbox
HH1221 fall detection images,candidate_requires_license_QA,images + YOLO labels,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\hh1221_fall_detection_images,808,67490994,64.36,fall/non-fall image detector set
DD0914 CCTV fall/laying,candidate_requires_license_QA,synthetic CCTV images + labels,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\dd0914_cctv_fall_laying,454,171795672,163.84,synthetic fall/lying posture dataset; duplicate-like to Simuletic but separately sourced
UniDataPro fall samples,candidate_requires_license_QA,sample mp4 + metadata xlsx,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\unidatapro_fall_detection_samples,12,50126455,47.8,two sample videos and metadata
UD Smart City fall samples,candidate_requires_license_QA,sample mp4 + metadata xlsx,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\ud_smart_city_fall_detection_samples,12,50127479,47.81,two sample videos and metadata
DangMinh21 fall parquet,candidate_requires_license_QA,parquet image/table data,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\dangminh21_fall_detection_parquet,12,1282908265,1223.48,large parquet fall detection dataset
Popkek00 fall parquet,candidate_requires_license_QA,parquet data,source terms need review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\popkek00_fall_detection_parquet,10,551858986,526.29,parquet fall dataset
Nshisei multimodal annotations,annotations_downloaded_media_pending,multi-angle annotation CSV,source terms/storage review,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_restricted_pending\nshisei_multimodal_annotations,14,7965707,7.6,annotations for RGB/depth/thermal multi-angle data; media zips are GB-scale
eHomeSeniors,blocked_manual_download_needed,infrared CSV zip,MDPI supplementary,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_authorized\ehomeseniors,0,0,0.0,direct script access blocked by MDPI 403; manual/browser download required
UP-Fall,pending_large_manual_download,RGB/depth/sensor multimodal,academic/research,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_restricted_pending\UP-Fall,0,0,0.0,very large multimodal benchmark; needs storage and download decision
NTU RGB+D 120,pending_application,RGB/depth/IR/skeleton,research application,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_restricted_pending\NTU_RGBD_120,0,0,0.0,requires application/account; huge but useful for IR hard negatives
MIPT thermal/depth tracking,pending_large_download,thermal/depth/tracking,non-commercial research,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_restricted_pending\MIPT,0,0,0.0,Zenodo about 9.8GB; useful for thermal/multi-person tracking
Kaggle fall datasets,pending_kaggle_credentials,images/videos/tables,Kaggle terms,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_restricted_pending\Kaggle,0,0,0.0,requires Kaggle API token/login
Bilibili/YouTube web videos,candidate_urls_only,videos,copyright varies,D:\Program\health(5-12)\fall_detection_model_bundle\v3_upgrade_lab\datasets\external_candidates\web_video_urls,2,2402,0.0,must record permission/license before training use
